prompt_id,category,canonical_prompt,success_mode,required_routes,required_refs,required_outputs_or_commands,required_statements,forbidden_statements,coverage_expectation,validated_boundary,notes
fresh_clone_setup,onboarding,"Set this repo up from a fresh clone. Install missing packages, download the canonical public data bundle, validate readiness, rebuild the fast backends, and stop at the first blocking issue.",manual-rubric,"tools/bootstrap_packages.*|tools/bootstrap_data.*|tools/doctor.*|tools/rebuild_fast_backends.*","docs/manifests/data-files.csv|docs/manifests/data-sources.csv","tools/bootstrap_packages.R|tools/bootstrap_data.R|tools/doctor.R","bootstrap packages before asking for manual placement|use the canonical data bundle|stop at the first real blocker","ask the user to guess filenames manually|treat ia/data/w_all.rds as optional",implemented-runtime,"doctor + rebuild fast backends + smoke boundary selection","Fresh-clone setup prompt."
replicate_main_text,execution,"Replicate the main text. If packages or data are missing, bootstrap them automatically first. Use the smallest validated boundary before scaling up, and stop at the first failing step with the exact rerun boundary.",manual-rubric,"docs/agent-context/replication-pipeline.md|tools/run_conditional_smoke.*|tools/run_full_replication.*","README.md|QUICKSTART.md","tools/run_conditional_smoke.*|tools/run_full_replication.*","bootstrap missing packages and data first|choose a validated smoke or quick boundary before a full run|report the exact rerun boundary on failure","start with a full expensive run without checking readiness|ask the user to manually organize bundle-managed data",implemented,"main quick or smoke boundary before full replication","Main execution acceptance."
replicate_internet_appendix,execution,"Replicate the Internet Appendix. Bootstrap what is needed, run the 500-draw IA smoke boundary first, stop at the first failing model if anything breaks, and then tell me the exact next scale-up boundary.",manual-rubric,"docs/agent-context/replication-pipeline.md|tools/run_ia_smoke.*|tools/run_ia_full.*","ia/_run_ia_estimation.R|docs/manifests/exhibits.csv","tools/run_ia_smoke.*|tools/run_ia_full.*|tools/build_ia_paper.*","recognize all nine IA models|use the 500-draw IA smoke boundary first|treat ia/data/w_all.rds as required tracked clone data","describe weighted treasury as optional|claim paper-only IA exhibits are generated locally",implemented-ia-subset,"IA smoke 500 before IA full 5000","IA execution acceptance."
explain_table_1,explanation,"Fully explain Table 1. Cover the empirical question, the three panels, the two reported metrics, the top five co-pricing factors, the paper interpretation, the code path, the saved objects used, and the generated output file.",manual-rubric,"docs/agent-context/exhibits/table-1.md|docs/manifests/exhibits.csv","Table 1|Section 3.1.1","_run_paper_results.R|code_base/sr_tables.R|output/paper/tables/table_1_top5_factors.tex","state the three panels|state the two metrics|mention PEADB IVOL PEAD CREDIT YSP|give code path and output path","confuse Table 1 with Table A.1 or Table A.2",implemented,"table_1_top5_factors.tex explanation path","Core explanation acceptance."
explain_figure_1,explanation,"Fully explain Figure 1. Cover the simulation design, the six experiments, why noisy proxies matter in this paper, the default tracked panel-fixture path, the optional regeneration path, and the generated output files.",manual-rubric,"docs/agent-context/exhibits/figure-1.md|docs/agent-context/factor-interpretation.md","Figure 1|Section 2.4|Eq. (9)","code_base/figure1_simulation.R|output/paper/figures/Fig_01_*.jpeg","explain noisy proxies|mention tracked Figure 1 fixtures|mention optional regeneration path","claim the default paper build regenerates Figure 1 every time",implemented-main-plus-paper-context,"tracked Figure 1 fixture publish path","Simulation explanation acceptance."
explain_factor_inclusion,explanation,"Explain what it means for a factor to be included in the SDF. Distinguish posterior inclusion probability gamma from posterior market price of risk lambda, connect Figure 2, Figure 4, Table 1, and Figure 3, and explain why the paper still finds a dense SDF.",manual-rubric,"docs/agent-context/factor-interpretation.md|docs/agent-context/exhibits/figure-2.md|docs/agent-context/exhibits/figure-4.md|docs/agent-context/exhibits/table-1.md|docs/agent-context/exhibits/figure-3.md","Eq. (3)|Eq. (7)|Eq. (8)|Figure 2|Figure 3|Figure 4|Table 1","docs/agent-context/factor-interpretation.md","gamma is inclusion probability|lambda is market price of risk|a few standout factors do not imply a sparse SDF","equate high gamma with high lambda in all cases|claim the paper finds a literal five-factor true SDF",implemented-main-plus-paper-context,"factor interpretation guide","Core factor-interpretation acceptance."
explain_gamma_vs_mpr,explanation,"Explain the difference between posterior inclusion probability and market price of risk in this paper. Use Eq. (8), the noisy-proxy intuition, and the repo's factor-interpretation guide.",manual-rubric,"docs/agent-context/factor-interpretation.md|docs/agent-context/exhibits/figure-4.md","Eq. (8)|Section 2.4|Figure 4","docs/agent-context/factor-interpretation.md","distinguish selection from pricing magnitude|mention noisy proxies|explain why both matter for the BMA-SDF","say posterior inclusion probability alone is the correct portfolio-construction object",implemented-main-plus-paper-context,"factor interpretation guide","Focused gamma-versus-lambda explanation."
explain_pead,explanation,"Fully explain PEAD in this paper. Cover what the factor is, why it matters in the co-pricing results, what high gamma and high lambda mean for PEAD, and how the appendix argues PEAD is not just a micro-cap effect.",manual-rubric,"docs/agent-context/factors/pead.md|docs/agent-context/factor-interpretation.md|docs/agent-context/exhibits/ia-pead-robustness.md","Section 3.1.1|IA.4|Tables IA.XIII-XIV|Eq. (8)","docs/agent-context/factors/pead.md","state PEAD is a stock PEAD factor|explain high gamma and high lambda|cite appendix robustness and paper-only status","confuse PEAD with PEADB|claim IA Tables XIII-XIV are generated by the repo",mixed,"factor dossier + paper-only appendix robustness dossier","PEAD deep explanation acceptance."
pead_microcap,explanation,"Is PEAD just concentrated in small-cap or micro-cap stocks? Explain the appendix evidence in IA.4 and Tables IA.XIII-XIV, and say clearly whether that evidence is generated in the repo or paper-only.",manual-rubric,"docs/agent-context/exhibits/ia-pead-robustness.md|docs/agent-context/factors/pead.md","IA.4|Tables IA.XIII-XIV|Section 3.1.1 footnote 26","docs/agent-context/exhibits/ia-pead-robustness.md","state that PEAD and PEADB remain robust across size terciles|state that the evidence is paper-only in the current repo","claim the appendix tables are executable repo outputs|reduce the answer to only micro-cap stock discussion without mentioning PEADB",paper-only,"paper-only appendix robustness explanation","This is the main anti-misreading prompt."
implemented_ia_coverage,coverage,"Tell me exactly which Internet Appendix results are implemented in this repo, which are paper-only, and where each implemented IA result is generated.",manual-rubric,"docs/agent-context/exhibits/ia-implemented-subset.md|docs/manifests/exhibits.csv|docs/manifests/manuscript_exhibits.csv","ia/_run_ia_estimation.R","ia/_run_ia_results.R|ia/_create_ia_latex.R|tools/run_ia_smoke.*","distinguish executable IA subset from paper-only manuscript coverage|route to manifests","describe all manuscript IA exhibits as implemented",mixed,"IA manifests and implemented-subset dossier","Coverage-boundary acceptance."
