claim_id,claim_summary,primary_evidence,supporting_evidence,equation_refs,repo_coverage_status,notes
1,"Only five factors (PEADB, IVOL, PEAD, CREDIT, YSP) clear the 50% prior threshold in the co-pricing SDF.","Figure 2; Table 1","Table A.1; Sec. 3.1.1","Eq. (8)",implemented,"Main-text evidence is implemented and directly traceable in the repo."
2,"The latent SDF is dense rather than sparse, with posterior median dimensionality around 22 factors.","Figure 3","Figure IA.22","Eq. (7); Eq. (8)",implemented-main-plus-paper-context,"Main Figure 3 is implemented; the supporting IA figure remains paper-only."
3,"The BMA-SDF outperforms benchmark models in-sample and out-of-sample for joint bond-stock pricing.","Tables 2-3","IA pricing robustness tables","Eq. (7)",implemented-main-plus-ia-partial,"Main tables are implemented; extended IA robustness tables are not all emitted."
4,"The tradable BMA-SDF delivers out-of-sample Sharpe ratios around 1.5 to 1.8.","Table 6 Panel B; Figure 7","Table IA.XXVII","Eq. (7)",implemented-main-plus-paper-context,"Main-text trading outputs are implemented; data-source robustness appendix table is paper-only."
5,"Equity and nontradable factors suffice for co-pricing once Treasury term-structure risk is removed.","Figure 8; Table IA.XVI","Figure 9","Eq. (10)",partial,"Figure 8 and Figure 9 are implemented; the supporting IA table is paper-only."
6,"Bond factors are mainly needed to price the Treasury component that stock factors fail to capture.","Figure 9","IA.6 discussion","Eq. (10)",implemented-main-plus-paper-context,"The key Figure 9 diagnostics are implemented; the fuller IA surface remains paper-only."
7,"The BMA-SDF is persistent, tracks the business cycle, and its conditional volatility is countercyclical.","Figures 10-11","Table IA.XXI; IA.8","Eq. (7)",partial,"Main figures are implemented; the supporting appendix table is paper-only."
8,"Lagged SDF information predicts future factor returns.","Figure 12","Sec. 3.4","Eq. (7)",implemented,"Main predictability figures are implemented."
9,"The BMA-SDF can recover pricing information even when only noisy proxies are available.","Figure 1; Sec. 2.4","Additional simulation figures","Eq. (7); Eq. (8)",implemented-main-plus-paper-context,"Figure 1 is implemented in the repo; the broader simulation appendix remains outside the public default surface."
10,"The main findings are robust to kappa tilts, imposed sparsity, factor exclusion, data variation, and sample splits.","Sec. 4","Tables IA.XXII-XXXIII; Figures IA.32-IA.39","Eq. (6)",paper-only,"These broader appendix robustness surfaces are not part of the current executable repo outputs."
11,"PEAD factors remain robust across size terciles and are not driven by micro-cap stocks.","IA.4","Table IA.XIII-XIV","Eq. (8)",paper-only,"This supporting appendix evidence is not currently emitted by the repo."
12,"Discount-rate news dominates bond factors while cash-flow news is more prominent for stock factors.","Table 5","Figure IA.21; Table IA.XV","IA.1",implemented-main-plus-paper-context,"The main summary table is implemented; the appendix decomposition surfaces remain paper-only."
