path,required_for,required,source,description,bootstrap_source_id,notes
data/nontraded.csv,main paper; conditional; IA,yes,Open Source Bond Asset Pricing or current project bundle,Non-traded macro and sentiment factor panel,djm_main_bundle,First column must be the date column
data/traded_bond_excess.csv,main paper excess runs; IA,yes,Open Source Bond Asset Pricing or current project bundle,Tradable bond factor returns in excess-return form,djm_main_bundle,Used in baseline bond and joint excess models
data/traded_equity.csv,main paper; IA,yes,Open Source Bond Asset Pricing or current project bundle,Tradable equity factor returns,djm_main_bundle,Used in stock and joint models
data/traded_bond_duration_tmt.csv,main paper duration runs,yes,Open Source Bond Asset Pricing or current project bundle,Tradable bond factor returns in duration-adjusted form,djm_main_bundle,Used in duration-adjusted bond and joint models
data/bond_insample_test_assets_50_excess.csv,main paper excess runs; IA,yes,Open Source Bond Asset Pricing or current project bundle,In-sample bond test assets in excess-return form,djm_main_bundle,Used in bond and joint excess estimation
data/bond_insample_test_assets_50_duration_tmt.csv,main paper duration runs,yes,Open Source Bond Asset Pricing or current project bundle,In-sample bond test assets in duration-adjusted form,djm_main_bundle,Used in duration-adjusted estimation
data/bond_insample_test_assets_50_duration_tmt_tbond.csv,main paper treasury branch; IA treasury,yes,Open Source Bond Asset Pricing or current project bundle,Treasury-style in-sample test assets used for treasury component runs,djm_main_bundle,Used by both main and IA treasury analyses
data/equity_anomalies_composite_33.csv,main paper; IA,yes,Open Source Bond Asset Pricing or current project bundle,In-sample equity anomaly test assets,djm_main_bundle,Used in stock and joint estimation
data/frequentist_factors.csv,benchmark comparisons,yes,Open Source Bond Asset Pricing or current project bundle,Frequentist benchmark factor panel,djm_main_bundle,Feeds benchmark pricing and SDF comparisons
data/bond_oosample_all_excess.csv,main paper OOS pricing; IA sparse and isos,yes,Open Source Bond Asset Pricing or current project bundle,Out-of-sample bond test assets in excess-return form,djm_main_bundle,Used by Table 3 and selected IA robustness outputs
data/bond_oosample_all_duration_tmt.csv,main paper duration OOS pricing,yes,Open Source Bond Asset Pricing or current project bundle,Out-of-sample bond test assets in duration-adjusted form,djm_main_bundle,Used by duration-adjusted out-of-sample pricing exercises
data/equity_os_77.csv,main paper OOS pricing; IA sparse and isos,yes,Open Source Bond Asset Pricing or current project bundle,Out-of-sample equity anomaly test assets,djm_main_bundle,Used by Table 3 and selected IA robustness outputs
data/treasury_oosample_all_excess.csv,main paper treasury diagnostics,yes,Open Source Bond Asset Pricing or current project bundle,Out-of-sample Treasury returns for covariance diagnostics,djm_main_bundle,Used by Figure 9
data/variance_decomp_results_vuol.rds,main paper DR versus CF decomposition,yes,Current project bundle,Discount-rate versus cash-flow decomposition input,djm_main_bundle,Used by Table 5
misc/figure1_simulation/monthly_return.csv,Figure 1 regeneration,yes,Tracked repo file,Historical monthly returns used to calibrate the Figure 1 simulation design,,Tracked fixture for the Figure 1 regeneration tool
misc/figure1_simulation/pseudo-true.RData,Figure 1 default build,yes,Tracked repo file,Pseudo-true Figure 1 calibration objects,,Tracked fixture used by the default Figure 1 builder
misc/figure1_simulation/simulation400psi60.RData,Figure 1 default build,yes,Tracked repo file,Paper-calibration Monte Carlo output for T = 400 and prior = 60,,Tracked fixture used by the default Figure 1 builder
misc/figure1_simulation/simulation1600psi60.RData,Figure 1 default build,yes,Tracked repo file,Paper-calibration Monte Carlo output for T = 1600 and prior = 60,,Tracked fixture used by the default Figure 1 builder
misc/figure1_simulation/Fig_01_0_sim_legend.jpeg,Figure 1 default build,yes,Tracked repo file,Legend strip used by the paper Figure 1 layout,,Tracked fixture used by the default Figure 1 builder
misc/figure1_simulation/Fig_01_1_OLS_60_400_BMA_MPR.jpeg,Figure 1 default build,yes,Tracked repo file,Published Figure 1 BMA-SDF panel for T = 400,,Tracked paper panel fixture used by the default Figure 1 builder
misc/figure1_simulation/Fig_01_2_OLS_60_1600_BMA_MPR.jpeg,Figure 1 default build,yes,Tracked repo file,Published Figure 1 BMA-SDF panel for T = 1600,,Tracked paper panel fixture used by the default Figure 1 builder
misc/figure1_simulation/Fig_01_3_OLS_60_400_factor_MPRs.jpeg,Figure 1 default build,yes,Tracked repo file,Published Figure 1 factor-MPR panel for T = 400,,Tracked paper panel fixture used by the default Figure 1 builder
misc/figure1_simulation/Fig_01_4_OLS_60_1600_factor_MPRs.jpeg,Figure 1 default build,yes,Tracked repo file,Published Figure 1 factor-MPR panel for T = 1600,,Tracked paper panel fixture used by the default Figure 1 builder
misc/figure1_simulation/Fig_01_5_OLS_60_400_factor_probs.jpeg,Figure 1 default build,yes,Tracked repo file,Published Figure 1 posterior-probability panel for T = 400,,Tracked paper panel fixture used by the default Figure 1 builder
misc/figure1_simulation/Fig_01_6_OLS_60_1600_factor_probs.jpeg,Figure 1 default build,yes,Tracked repo file,Published Figure 1 posterior-probability panel for T = 1600,,Tracked paper panel fixture used by the default Figure 1 builder
misc/BMAs_bond_R2_legend.pdf,PDF figure assembly,yes,Tracked repo file,Static BMA R-squared legend used by figures.txt in paper LaTeX assembly,,Required tracked asset referenced by figures.txt lines 71 and 169
ia/data/w_all.rds,IA treasury_weighted branch,yes,Tracked repo file,DR-tilt kappa weights for the weighted treasury IA branch,,Required tracked IA input that ships with the clone
